Name,Ratings,Position,Version,PS,SKI,WF,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,Country
Kossi Agassa,68,GK,,0,1,3,70,66,58,71,67,64,"190cm | 6'3""",0,-,-,Stade de Reims,Togo
Zak Whitbread,68,CB,,0,2,3,47,35,47,48,71,70,"188cm | 6'2""",0,-,-,Norwich City,United States
Herculez Gomez,68,ST,,0,3,5,74,67,62,66,58,73,"178cm | 5'10""",0,-,-,Estudiantes Tecos,United States
Lloyd Sam,68,RM,,0,3,4,77,52,65,72,53,47,"173cm | 5'8""",0,-,-,Leeds United,Ghana
Russell Anderson,68,CB,,0,2,3,52,39,44,43,70,75,"180cm | 5'11""",0,-,-,Derby County,Scotland
Josh Saunders,68,GK,,0,1,3,69,68,71,70,53,68,"193cm | 6'4""",0,-,-,Los Angeles Galaxy,United States
Brian Ching,68,ST,,0,2,3,50,64,48,61,65,75,"183cm | 6'0""",0,-,-,Houston Dynamo,United States
Gabriel Rodr. dos Santos,68,RB,,0,2,3,77,60,71,72,68,61,"171cm | 5'7""",0,-,-,Grêmio,Brazil
Aníbal Matellán,68,CB,,0,2,3,52,46,52,53,73,70,"181cm | 5'11""",0,-,-,San Luis,Argentina
Guirane N'Daw,68,CDM,,0,2,2,52,58,66,57,76,79,"190cm | 6'3""",0,-,-,Birmingham City,Senegal
Billy Jones,68,RB,,0,2,3,67,55,64,63,70,69,"180cm | 5'11""",0,-,-,West Bromwich Albion,England
Manuel de la Torre,68,LB,,0,3,3,72,58,69,65,67,69,"170cm | 5'7""",0,-,-,Toluca,Mexico
Olivier Auriac,68,CM,,0,2,3,66,56,62,68,63,62,"172cm | 5'8""",0,-,-,Angers SCO,France
Johan Liébus,68,GK,,0,1,3,67,66,67,68,46,69,"184cm | 6'0""",0,-,-,Stade de Reims,France
Ludovic Butelle,68,GK,,0,1,3,72,66,57,71,49,63,"188cm | 6'2""",0,-,-,AC Arles Avignon,France
Jonathan Stead,68,ST,,0,3,2,66,67,58,64,52,74,"191cm | 6'3""",0,-,-,Bristol City,England
Jason Scotland,68,ST,,0,3,4,66,65,42,65,57,64,"173cm | 5'8""",0,-,-,Ipswich Town,Trinidad &amp; Tobago
Alain Nef,68,CB,,0,2,2,44,37,56,50,72,69,"191cm | 6'3""",0,-,-,BSC Young Boys,Switzerland
Carl Medjani,68,CB,,0,2,3,58,47,52,47,72,71,"183cm | 6'0""",0,-,-,AC Ajaccio,Algeria
Mark-Jan Fledderus,68,LM,,0,2,3,65,72,66,66,67,59,"178cm | 5'10""",0,-,-,Roda JC,Netherlands
Óscar Pérez,68,GK,,0,1,3,70,66,62,72,42,72,"173cm | 5'8""",0,-,-,San Luis,Mexico
Leon Britton,68,CM,,0,3,3,69,46,68,75,61,50,"165cm | 5'5""",0,-,-,Swansea City,England
Ragnar Klavan,68,LB,,0,2,3,64,46,65,61,70,66,"186cm | 6'1""",0,-,-,AZ Alkmaar,Estonia
Michael Duff,68,CB,,0,2,2,51,36,49,57,69,68,"185cm | 6'1""",0,-,-,Burnley,Northern Ireland
Radoslav Zabavník,68,RB,,0,3,4,65,59,53,55,71,72,"180cm | 5'11""",0,-,-,1. FSV Mainz 05,Slovakia
Zlatko Dedic,68,LW,,0,3,3,82,67,56,72,53,64,"182cm | 6'0""",0,-,-,Dynamo Dresden,Slovenia
Sammy Bossut,68,GK,,0,1,3,71,67,62,72,62,64,"186cm | 6'1""",0,-,-,SV Zulte-Waregem,Belgium
Daniel Niculae,68,ST,,0,3,3,64,63,58,65,55,72,"185cm | 6'1""",0,-,-,A.S. Nancy Lorraine,Romania
Claudio Morel Rodríguez,68,LB,,0,2,3,73,59,62,62,69,70,"175cm | 5'9""",0,-,-,Real Club Deportivo de La Coruña S.A.D.,Paraguay
Emanuel Rivas,68,LM,,0,4,4,90,64,59,74,46,54,"175cm | 5'9""",0,-,-,Bari,Argentina
Ovidiu Petre,68,CM,,0,2,3,61,59,67,60,72,67,"189cm | 6'2""",0,-,-,Modena,Romania
José María Jiménez Pérez,68,GK,,0,1,3,69,63,59,71,46,68,"187cm | 6'2""",0,-,-,Xerez Club Deportivo S.A.D.,Spain
Aritz López Garai,68,CDM,,0,2,3,50,51,60,49,72,55,"182cm | 6'0""",0,-,-,Córdoba Club de Fútbol S.A.D.,Spain
Antonio Longás Ferrer,68,CM,,0,3,3,65,52,70,70,53,50,"174cm | 5'9""",0,-,-,Gimnàstic de Tarragona S.A.D.,Spain
Dani Giménez,68,GK,,0,1,3,68,61,60,78,61,68,"182cm | 6'0""",0,-,-,Rayo Vallecano de Madrid S.A.D.,Spain
Javier Paredes Arango,68,LB,,0,2,3,68,42,59,57,68,66,"175cm | 5'9""",0,-,-,Real Zaragoza S.A.D.,Spain
Álvaro Rubio Robres,68,CM,,0,2,3,58,62,68,55,66,61,"178cm | 5'10""",0,-,-,Real Valladolid Club de Fútbol S.A.D.,Spain
Carlos González Peña,68,LB,,0,2,3,73,37,67,60,67,67,"181cm | 5'11""",0,-,-,Real Valladolid Club de Fútbol S.A.D.,Spain
Dmitriy Borodin,68,GK,,0,1,3,67,72,71,70,45,65,"188cm | 6'2""",0,-,-,Zenit St. Petersburg,Russia
Davy De fauw,68,RB,,0,2,3,68,58,68,60,68,66,"186cm | 6'1""",0,-,-,SV Zulte-Waregem,Belgium
Seyi Olofinjana,68,CDM,,0,2,3,62,53,65,58,71,72,"193cm | 6'4""",0,-,-,Hull City,Nigeria
Darl Douglas,68,RW,,0,3,3,73,62,60,75,56,57,"172cm | 5'8""",0,-,-,Heracles Almelo,Netherlands
Alfonso De Lucia,68,GK,,0,1,1,68,66,60,72,46,68,"186cm | 6'1""",0,-,-,Livorno,Italy
Roei Dayan,68,ST,,0,2,3,74,66,57,66,54,74,"185cm | 6'1""",0,-,-,Germinal Beerschot,Israel
Vincent Planté,68,GK,,0,1,2,68,66,66,72,35,63,"190cm | 6'3""",0,-,-,En Avant de Guingamp,France
Branko Bošković,68,CAM,,0,3,3,57,66,68,70,53,64,"185cm | 6'1""",0,-,-,D.C. United,Montenegro
Jérémy Perbet,68,ST,,0,3,3,55,66,46,54,51,66,"184cm | 6'0""",0,-,-,RAEC Mons,France
Ben Davies,68,RM,,0,2,4,64,70,63,73,59,59,"170cm | 5'7""",0,-,-,Derby County,England
James Coppinger,68,RW,,0,3,3,75,62,66,71,44,59,"170cm | 5'7""",0,-,-,Doncaster Rovers,England
Kim Christensen,68,GK,,0,1,3,71,64,77,73,42,64,"185cm | 6'1""",0,-,-,FC København,Denmark
Simon Poulsen,68,LB,,0,3,2,82,60,62,71,67,62,"184cm | 6'0""",0,-,-,AZ Alkmaar,Denmark
Franz Schiemer,68,CDM,,0,2,4,72,54,56,58,74,85,"185cm | 6'1""",0,-,-,FC Red Bull Salzburg,Austria
Koen Persoons,68,CM,,0,2,5,69,62,67,66,65,64,"179cm | 5'10""",0,-,-,Sporting Lokeren OV,Belgium
Jason Puncheon,68,LW,,0,3,4,76,66,61,71,50,55,"173cm | 5'8""",0,-,-,Queens Park Rangers,England
Bradley Johnson,68,CM,,0,3,2,67,69,68,66,64,69,"178cm | 5'10""",0,-,-,Norwich City,England
Olivier Occèan,68,ST,,0,2,3,65,64,42,57,58,78,"185cm | 6'1""",0,-,-,SpVgg Greuther Fürth,Canada
Liam Rosenior,68,RB,,0,2,4,76,53,58,65,64,62,"178cm | 5'10""",0,-,-,Hull City,England
Rodrigo Oliveira Alvim,68,LB,,0,3,3,62,59,68,64,69,71,"182cm | 6'0""",0,-,-,Flamengo,Brazil
Hameur Bouazza,68,LM,,0,4,3,78,63,58,71,52,61,"180cm | 5'11""",0,-,-,Millwall,Algeria
Łukasz Garguła,68,CAM,,0,3,5,70,62,66,64,52,58,"177cm | 5'10""",0,-,-,Wisła Kraków,Poland
Adrian Cann,68,CB,,0,2,4,39,44,51,46,70,72,"190cm | 6'3""",0,-,-,Toronto FC,Canada
William Hesmer,68,GK,,0,1,2,68,71,69,65,52,69,"188cm | 6'2""",0,-,-,Columbus Crew,United States
Eun Jung Kim,68,ST,,0,3,4,75,67,55,65,60,72,"185cm | 6'1""",0,-,-,Jeju United FC,Korea Republic
Răzvan Cociş,68,CDM,,0,3,4,72,66,70,67,55,63,"181cm | 5'11""",0,-,-,FC Rostov,Romania
Piotr Celeban,68,RB,,0,2,3,71,51,52,55,68,76,"181cm | 5'11""",0,-,-,Wrocław,Poland
Markel Bergara,68,CM,,0,2,3,61,60,68,71,64,68,"180cm | 5'11""",0,-,-,Real Sociedad de Fútbol S.A.D.,Spain
Joe Lewis,68,GK,,0,1,3,77,56,60,78,66,63,"198cm | 6'6""",0,-,-,Peterborough United,England
Thomas Gebauer,68,GK,,0,1,3,69,67,60,71,59,68,"191cm | 6'3""",0,-,-,SV Josko Fenst. Ried,Germany
Yuki Abe,68,CDM,,0,2,3,65,72,71,68,67,62,"178cm | 5'10""",0,-,-,Leicester City,Japan
Lukas Sinkiewicz,68,CDM,,0,2,3,53,48,57,45,77,73,"192cm | 6'4""",0,-,-,VfL Bochum,Germany
Lucas Ayala,68,CDM,,0,2,3,56,54,63,55,71,70,"175cm | 5'9""",0,-,-,Atlas,Mexico
Stephen Elliott,68,ST,,0,3,3,77,64,58,68,48,75,"176cm | 5'9""",0,-,-,Heart of Midlothian,Republic of Ireland
Fabiano Pereira,68,CM,,0,3,4,67,69,68,65,65,72,"181cm | 5'11""",0,-,-,A. Florianópolis,Brazil
Uwe Hünemeier,68,CB,,0,2,4,65,49,54,53,68,76,"189cm | 6'2""",0,-,-,Energie Cottbus,Germany
Simone Bentivoglio,68,CM,,0,2,3,67,60,67,65,67,67,"184cm | 6'0""",0,-,-,Sampdoria,Italy
Giuseppe De Feudis,68,CM,,0,3,3,70,58,67,67,59,58,"174cm | 5'9""",0,-,-,F. Torino,Italy
Marco Bernacci,68,ST,,0,3,3,66,58,43,55,55,78,"193cm | 6'4""",0,-,-,Modena,Italy
Klemen Lavrič,68,ST,,0,3,4,61,67,57,66,48,68,"188cm | 6'2""",0,-,-,Karlsruher SC,Slovenia
Xavier Chen,68,RB,,0,2,3,76,44,65,63,65,65,"175cm | 5'9""",0,-,-,KV Mechelen,Taiwan
Steve Gohouri,68,CB,,0,2,3,53,46,44,41,69,73,"189cm | 6'2""",0,-,-,Wigan Athletic,Ivory Coast
Daniel Fox,68,LB,,0,2,3,69,51,69,60,68,66,"183cm | 6'0""",0,-,-,Southampton,Scotland
Marco Padalino,68,RM,,0,3,3,88,58,65,65,61,59,"177cm | 5'10""",0,-,-,Sampdoria,Switzerland
Craig Bryson,68,CM,,0,3,3,73,65,63,71,55,57,"170cm | 5'7""",0,-,-,Derby County,Scotland
Manuel Coppola,68,CDM,,0,2,3,75,53,68,62,62,52,"172cm | 5'8""",0,-,-,Empoli,Italy
Yohan Démont,68,RM,,0,2,3,73,63,70,66,63,64,"181cm | 5'11""",0,-,-,Racing Club de Lens,France
Marco Zambelli,68,RB,,0,2,3,77,49,60,59,69,59,"180cm | 5'11""",0,-,-,Brescia,Italy
Damien Delaney,68,CB,,0,2,3,63,43,59,31,71,78,"191cm | 6'3""",0,-,-,Ipswich Town,Republic of Ireland
Evgeniy Savin,68,ST,,0,3,4,71,70,62,65,52,71,"187cm | 6'2""",0,-,-,Tom Tomsk,Russia
Alejandro Vela,68,LM,,0,3,3,83,59,65,71,46,63,"172cm | 5'8""",0,-,-,Cruz Azul,Mexico
Florian Klein,68,RB,,0,3,3,83,53,64,67,65,55,"180cm | 5'11""",0,-,-,FK Austria Wien,Austria
Markus Berger,68,CB,,0,2,2,61,46,59,55,71,77,"186cm | 6'1""",0,-,-,Académica Coimbra,Austria
Stiven Rivić,68,LM,,0,3,4,74,63,65,72,47,47,"181cm | 5'11""",0,-,-,1. FC Kaiserslautern,Croatia
Luke Moore,68,ST,,0,3,4,79,64,53,68,52,68,"180cm | 5'11""",0,-,-,Swansea City,England
Remko Pasveer,68,GK,,0,1,3,69,65,66,68,46,70,"187cm | 6'2""",0,-,-,Heracles Almelo,Netherlands
Michael Jakobsen,68,CB,,0,2,1,65,55,65,57,69,73,"185cm | 6'1""",0,-,-,Unión Deportiva Almería S.A.D.,Denmark
Colin Doyle,68,GK,,0,1,3,72,67,63,70,63,67,"196cm | 6'5""",0,-,-,Birmingham City,Republic of Ireland
Andrew Taylor,68,LB,,0,2,3,74,38,64,61,65,62,"178cm | 5'10""",0,-,-,Cardiff City,England
Matthew Bates,68,CB,,0,2,3,68,37,42,58,66,77,"178cm | 5'10""",0,-,-,Middlesbrough,England
Chris Morgan,68,CB,,0,2,3,28,28,29,23,75,75,"185cm | 6'1""",0,-,-,Sheffield United,England
Darren O'Dea,68,CB,,0,2,3,65,18,51,57,70,67,"185cm | 6'1""",0,-,-,Leeds United,Republic of Ireland
Sébastien Pocognoli,68,LB,,0,3,3,82,58,72,72,68,68,"183cm | 6'0""",0,-,-,Standard de Liège,Belgium
Bakaye Traoré,68,CDM,,0,2,3,75,69,64,69,68,71,"186cm | 6'1""",0,-,-,A.S. Nancy Lorraine,Mali
Leon Barnett,68,CB,,0,2,3,66,27,40,51,73,70,"185cm | 6'1""",0,-,-,Norwich City,England
Simeon Jackson,68,ST,,0,2,3,83,64,42,71,47,73,"173cm | 5'8""",0,-,-,Norwich City,Canada
Fatih Atik,68,RM,,0,3,3,74,57,65,71,60,46,"174cm | 5'9""",0,-,-,En Avant de Guingamp,France
Michal Papadopulos,68,ST,,0,3,2,72,64,57,61,56,75,"183cm | 6'0""",0,-,-,FC Rostov,Czech Republic
James O'Connor,68,RB,,0,2,3,68,33,64,52,69,69,"178cm | 5'10""",0,-,-,Doncaster Rovers,Republic of Ireland
Marcel de Jong,68,LB,,0,2,2,68,50,64,66,67,69,"174cm | 5'9""",0,-,-,FC Augsburg,Canada
Zsolt Laczkó,68,LB,,0,2,4,73,50,67,67,68,66,"183cm | 6'0""",0,-,-,Sampdoria,Hungary
Jack Hobbs,68,CB,,0,2,2,67,38,56,45,70,73,"191cm | 6'3""",0,-,-,Hull City,England
Fabien Bachir Camus,68,CM,,0,3,4,61,66,71,72,48,54,"176cm | 5'9""",0,-,-,KRC Genk,Tunisia
Matthias Lepiller,68,CAM,,0,3,3,56,72,72,62,57,55,"180cm | 5'11""",0,-,-,Verona,France
Matheus Coradini Vivian,68,CB,,0,2,3,48,36,53,43,70,76,"188cm | 6'2""",0,-,-,FC Nantes,Brazil
Tae Hwi Kwak,68,CB,,0,2,3,59,39,49,46,71,82,"186cm | 6'1""",0,-,-,Ulsan Hyundai Horang-i,Korea Republic
Beom Seok Oh,68,RB,,0,2,4,80,61,66,64,70,61,"181cm | 5'11""",0,-,-,Suwon Samsung Bluewings,Korea Republic
Braulio Nóbrega Rodríguez,68,ST,,0,3,3,67,67,48,70,50,71,"178cm | 5'10""",0,-,-,Real Zaragoza S.A.D.,Spain
Lasha Salukvadze,68,RB,,0,2,4,66,34,60,53,76,72,"185cm | 6'1""",0,-,-,Volga,Georgia
Oliver Fink,68,CM,,0,2,4,65,53,68,67,68,66,"187cm | 6'2""",0,-,-,Fortuna Düsseldorf,Germany
Emilio López,68,LM,,0,3,3,76,60,66,72,61,50,"167cm | 5'6""",0,-,-,Querétaro,Mexico
Magnus Troest,68,CB,,0,2,3,65,38,50,40,73,73,"189cm | 6'2""",0,-,-,Varese,Denmark
Matthew Connolly,68,CB,,0,2,3,66,38,44,55,71,71,"188cm | 6'2""",0,-,-,Queens Park Rangers,England
Jamie Hamill,68,RB,,0,2,3,76,47,63,62,70,74,"173cm | 5'8""",0,-,-,Heart of Midlothian,Scotland
Cameron Bell,68,GK,,0,1,2,71,65,54,73,24,71,"180cm | 5'11""",0,-,-,Kilmarnock,Scotland
Habib Bellaïd,68,CB,,0,2,3,47,36,54,52,74,69,"189cm | 6'2""",0,-,-,Eintracht Frankfurt,Algeria
Francesco Ruopolo,68,ST,,0,2,4,71,67,54,62,57,69,"185cm | 6'1""",0,-,-,Padua,Italy
Leonardo Miglionico,68,CB,,0,2,3,63,40,60,53,68,75,"179cm | 5'10""",0,-,-,Livorno,Uruguay
Boukary Dramé,68,LB,,0,2,3,68,39,65,56,69,66,"180cm | 5'11""",0,-,-,Chievo Verona,Senegal
Rubin Rafael Okotie,68,ST,,0,3,5,77,64,51,70,51,66,"188cm | 6'2""",0,-,-,Sint-Truidense VV,Austria
Jeppe Curth,68,CF,,0,3,4,78,63,54,67,52,75,"178cm | 5'10""",0,-,-,Aalborg BK,Denmark
Cole Skuse,68,CM,,0,2,3,75,61,68,68,67,67,"185cm | 6'1""",0,-,-,Bristol City,England
Rasim Tagirbekov,68,CB,,0,2,3,67,57,60,56,72,66,"185cm | 6'1""",0,-,-,Anzhi Makhachkala,Russia
Jehu Chiapas,68,CM,,0,2,1,68,54,70,61,70,66,"174cm | 5'9""",0,-,-,San Luis,Mexico
Roman Bednář,68,ST,,0,3,3,53,66,54,64,52,74,"190cm | 6'3""",0,-,-,West Bromwich Albion,Czech Republic
Mike Jensen,68,CDM,,0,3,4,70,66,67,72,69,60,"176cm | 5'9""",0,-,-,Brøndby IF,Denmark
Olberdam de Oliveira Serra,68,CM,,0,3,3,63,63,62,63,71,54,"177cm | 5'10""",0,-,-,C. Funchal,Brazil
Gabriele Paonessa,68,CAM,,0,3,4,72,63,62,74,49,55,"172cm | 5'8""",0,-,-,Gubbio,Italy
Tomasz Jodłowiec,68,CB,,0,2,3,77,50,46,51,72,62,"190cm | 6'3""",0,-,-,Polonia Warszawa,Poland
Brett Pitman,68,ST,,0,3,3,70,70,59,64,48,62,"183cm | 6'0""",0,-,-,Bristol City,England
Adrian Mariappa,68,CB,,0,2,3,76,28,45,54,71,80,"179cm | 5'10""",0,-,-,Watford,England
Federico Dionisi,68,ST,,0,2,3,75,63,58,65,53,67,"180cm | 5'11""",0,-,-,Livorno,Italy
Fabio Ceravolo,68,RW,,0,2,3,82,63,59,66,54,67,"180cm | 5'11""",0,-,-,Reggina,Italy
Roberto Lago Soto,68,LB,,0,3,3,79,53,60,61,67,65,"178cm | 5'10""",0,-,-,Real Club Celta de Vigo S.A.D.,Spain
Nicky Law,68,CM,,0,2,3,72,59,64,67,57,59,"178cm | 5'10""",0,-,-,Motherwell,England
Neil Taylor,68,LB,,0,2,3,75,41,63,61,67,66,"175cm | 5'9""",0,-,-,Swansea City,Wales
Sam Baldock,68,ST,,0,2,3,80,66,43,70,52,63,"170cm | 5'7""",0,-,-,West Ham United,England
Danny Haynes,68,ST,,0,3,3,90,63,54,64,51,72,"180cm | 5'11""",0,-,-,Barnsley,England
Felix Borja,68,ST,,0,3,3,75,64,59,68,54,72,"181cm | 5'11""",0,-,-,Pachuca,Ecuador
Giancarlo Maldonado,68,ST,,0,3,4,66,74,62,67,52,71,"173cm | 5'8""",0,-,-,Atlante,Venezuela
Bart Buysse,68,LB,,0,2,3,73,46,65,64,65,63,"179cm | 5'10""",0,-,-,FC Twente,Belgium
Joseph Akpala,68,ST,,0,3,3,86,64,49,54,55,75,"185cm | 6'1""",0,-,-,Club Brugge KV,Nigeria
Dax McCarty,68,CM,,0,3,3,66,64,69,67,61,58,"175cm | 5'9""",0,-,-,New York Red Bulls,United States
Cezary Wilk,68,CDM,,0,3,3,77,59,66,61,69,69,"180cm | 5'11""",0,-,-,Wisła Kraków,Poland
Stefan Aigner,68,RM,,0,3,5,85,57,64,68,53,56,"185cm | 6'1""",0,-,-,TSV 1860 München,Germany
Enrique Esqueda,68,ST,,0,3,3,72,66,65,71,50,68,"184cm | 6'0""",0,-,-,Pachuca,Mexico
Oscar Razo,68,LB,,0,3,2,68,57,66,63,70,65,"179cm | 5'10""",0,-,-,Jaguares de Chiapas,Mexico
Julio César Domínguez,68,CB,,0,2,3,64,45,63,64,71,73,"175cm | 5'9""",0,-,-,Cruz Azul,Mexico
Ralph Gunesch,68,CB,,0,2,3,48,49,59,45,72,72,"190cm | 6'3""",0,-,-,FC St. Pauli,Germany
Evander Sno,68,CDM,,0,2,3,57,58,59,62,74,64,"189cm | 6'2""",0,-,-,RKC Waalwijk,Netherlands
Ludovic Baal,68,LB,,0,2,3,81,51,64,61,67,62,"176cm | 5'9""",0,-,-,Racing Club de Lens,France
Dario Knežević,68,CB,,0,2,3,61,45,58,53,71,73,"184cm | 6'0""",0,-,-,Livorno,Croatia
Ahmed Apimah Barusso,68,CDM,,0,2,2,67,60,62,56,72,56,"185cm | 6'1""",0,-,-,Roma,Ghana
Yves De Winter,68,GK,,0,1,2,70,66,61,71,51,67,"187cm | 6'2""",0,-,-,De Graafschap,Belgium
Michele Paolucci,68,ST,,0,3,4,73,69,54,67,54,65,"182cm | 6'0""",0,-,-,Vicenza,Italy
Romain Brégerie,68,CB,,0,2,3,68,25,50,44,73,68,"190cm | 6'3""",0,-,-,Dynamo Dresden,France
Andrea Costa,68,CB,,0,2,3,68,47,53,62,69,70,"182cm | 6'0""",0,-,-,Sampdoria,Italy
Derek Asamoah,68,RW,,0,2,3,85,60,61,71,48,56,"168cm | 5'6""",0,-,-,Pohang Steelers,Ghana
Diego Biseswar,68,RW,,0,4,3,75,68,55,75,48,63,"171cm | 5'7""",0,-,-,Feyenoord,Netherlands
Marko Lomić,68,LB,,0,3,4,66,45,75,62,68,62,"187cm | 6'2""",0,-,-,Dinamo Moskva,Serbia
Yoni Buyens,68,CDM,,0,2,3,70,54,64,61,68,71,"182cm | 6'0""",0,-,-,Standard de Liège,Belgium
Mahamadou Habib Habibou,68,LW,,0,2,3,80,67,55,65,53,69,"192cm | 6'4""",0,-,-,SV Zulte-Waregem,France
Tamás Priskin,68,ST,,0,3,3,70,66,50,55,61,80,"191cm | 6'3""",0,-,-,Ipswich Town,Hungary
Keith Treacy,68,LM,,0,3,4,79,67,64,68,52,61,"183cm | 6'0""",0,-,-,Burnley,Republic of Ireland
Fernando Forestieri,68,CF,,0,4,3,77,64,58,75,44,49,"172cm | 5'8""",0,-,-,Bari,Italy
David Abwo,68,CAM,,0,3,5,86,63,61,73,50,60,"170cm | 5'7""",0,-,-,Zagłębie Lubin,Nigeria
Liam Trotter,68,CM,,0,2,1,66,61,68,68,67,70,"188cm | 6'2""",0,-,-,Millwall,England
Valeri Domovchiyski,68,CF,,0,3,3,70,64,53,71,50,69,"180cm | 5'11""",0,-,-,MSV Duisburg,Bulgaria
Rouwen Hennings,68,LW,,0,3,3,75,70,62,66,55,63,"180cm | 5'11""",0,-,-,FC St. Pauli,Germany
Saidi Ntibazonkiza,68,CF,,0,3,3,92,61,51,72,47,62,"170cm | 5'7""",0,-,-,Cracovia Kraków,Burundi
Marcos Camozzato,68,RB,,0,2,2,74,62,73,72,64,63,"177cm | 5'10""",0,-,-,Club Brugge KV,Brazil
Edgar Gerardo Lugo,68,CAM,,0,3,2,78,63,64,70,54,57,"182cm | 6'0""",0,-,-,Monarcas Morelia,Mexico
Charlie Davies,68,ST,,0,4,4,78,67,52,69,53,66,"178cm | 5'10""",0,-,-,D.C. United,United States
Dane Richards,68,RM,,0,3,2,93,66,58,72,48,52,"170cm | 5'7""",0,-,-,New York Red Bulls,Jamaica
Sam Vokes,68,ST,,0,3,3,66,62,54,65,57,77,"188cm | 6'2""",0,-,-,Wolverhampton Wanderers,Wales
Nick LaBrocca,68,CAM,,0,2,3,69,64,67,67,62,62,"178cm | 5'10""",0,-,-,Club Deportivo Chivas USA,United States
Xavier Baez,68,CM,,0,2,3,76,58,68,66,66,62,"170cm | 5'7""",0,-,-,Guadalajara,Mexico
Lorenzo Davids,68,LM,,0,2,3,70,61,65,68,66,70,"180cm | 5'11""",0,-,-,FC Augsburg,Suriname
Robbie Findley,68,ST,,0,3,3,91,64,47,69,51,62,"175cm | 5'9""",0,-,-,Nottingham Forest,United States
Michael Theoklitos,68,GK,,0,1,3,66,67,70,71,45,68,"186cm | 6'1""",0,-,-,Brisbane Roar Football Club,Australia
Nick Carle,68,CAM,,0,4,3,65,59,64,72,52,49,"174cm | 5'9""",0,-,-,Sydney FC,Australia
Jan Holenda,68,ST,,0,3,3,59,64,52,62,60,74,"186cm | 6'1""",0,-,-,Anzhi Makhachkala,Czech Republic
Michal Švec,68,CDM,,0,2,3,65,47,63,66,66,66,"181cm | 5'11""",0,-,-,sc Heerenveen,Czech Republic
Timur Kapadze,68,LW,,0,3,4,82,54,62,72,55,55,"185cm | 6'1""",0,-,-,Incheon United FC,Uzbekistan
Luis Miguel Noriega,68,CDM,,0,2,3,71,58,66,66,71,65,"172cm | 5'8""",0,-,-,Monarcas Morelia,Mexico
Mitchell Langerak,68,GK,,0,1,3,70,64,67,75,45,63,"192cm | 6'4""",0,-,-,Borussia Dortmund,Australia
Martin Männel,68,GK,,0,1,3,68,67,64,71,65,66,"184cm | 6'0""",0,-,-,FC Erzgebirge Aue,Germany
Thorsten Kirschbaum,68,GK,,0,1,3,70,67,74,70,60,62,"194cm | 6'4""",0,-,-,Energie Cottbus,Germany
Jérémy Taravel,68,CB,,0,2,3,69,42,54,42,70,72,"188cm | 6'2""",0,-,-,Sporting Lokeren OV,France
Torben Joneleit,68,CB,,0,2,2,58,32,57,42,71,70,"186cm | 6'1""",0,-,-,KRC Genk,Germany
Laionel Silva Ramalho,68,LW,,0,3,3,78,68,60,70,39,46,"173cm | 5'8""",0,-,-,Barcelos,Brazil
Georges Mandjeck,68,CDM,,0,2,3,72,46,64,70,70,62,"183cm | 6'0""",0,-,-,Stade Rennais FC,Cameroon
James Henry,68,RM,,0,3,3,76,65,73,66,44,52,"182cm | 6'0""",0,-,-,Millwall,England
Alexander Stolz,68,GK,,0,1,2,74,70,69,64,48,66,"189cm | 6'2""",0,-,-,VfB Stuttgart,Germany
Fagner Conserva Lemos,68,RB,,0,3,3,85,66,73,76,65,59,"168cm | 5'6""",0,-,-,Vasco da Gama,Brazil
Andreas Bjelland,68,CB,,0,2,4,64,47,59,55,73,72,"188cm | 6'2""",0,-,-,FC Nordsjælland,Denmark
Vincent Muratori,68,LB,,0,2,3,67,26,63,52,67,71,"180cm | 5'11""",0,-,-,AS Monaco FC,France
Jay Emmanuel-Thomas,68,LM,,0,3,2,78,63,67,71,61,72,"183cm | 6'0""",0,-,-,Ipswich Town,England
Jin Hyung Song,68,RM,,0,4,4,81,62,65,68,38,33,"176cm | 5'9""",0,-,-,Tours FC,Korea Republic
Adam Nemec,68,ST,,0,2,4,59,65,50,57,54,74,"190cm | 6'3""",0,-,-,1. FC Kaiserslautern,Slovakia
Ion Echaide Sola,68,CB,,0,2,3,64,43,49,55,70,74,"183cm | 6'0""",0,-,-,Club Atlético Osasuna,Spain
Michele Arcari,68,GK,,0,1,2,68,67,62,70,35,68,"184cm | 6'0""",0,-,-,Brescia,Italy
Tomasz Kupisz,68,RM,,0,2,3,81,56,66,67,58,58,"182cm | 6'0""",0,-,-,Jagiellonia Białystok,Poland
Stef Nijland,68,LM,,0,3,5,76,64,57,70,49,61,"187cm | 6'2""",0,-,-,N.E.C.,Netherlands
Joe Allen,68,CM,,0,3,3,68,53,70,69,57,57,"168cm | 5'6""",0,-,-,Swansea City,Wales
Assani Lukimya,68,CB,,0,2,3,63,32,42,42,76,56,"190cm | 6'3""",0,-,-,Fortuna Düsseldorf,DR Congo
Vladimir Koman,68,CAM,,0,3,4,73,64,66,70,56,55,"173cm | 5'8""",0,-,-,Sampdoria,Hungary
Odion Ighalo,68,ST,,0,3,3,77,63,50,74,57,71,"188cm | 6'2""",0,-,-,Granada Club de Fútbol,Nigeria
Vasco Fernandes,68,RB,,0,2,3,82,45,58,63,67,67,"181cm | 5'11""",0,-,-,SC Beira Mar,Portugal
Gonzalo Zárate,68,RM,,0,4,4,79,66,63,75,34,52,"184cm | 6'0""",0,-,-,FC Red Bull Salzburg,Argentina
