Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,League,Country
Szeliga,67,RM,Normal,200,2,4,H \ M,85,64,58,66,56,71,"184cm | 6'0""",0,400,1720,Piast Gliwice,Ekstraklasa,Poland
Bosso,67,RB,Normal,250,2,3,H \ M,72,37,57,65,66,62,"167cm | 5'5""",0,359,1607,Audax Italiano,Camp. Scotiabank,Chile
Ssewankambo,67,RB,Normal,300,2,3,H \ M,89,36,61,64,62,72,"179cm | 5'10""",-1,384,1680,Molde FK,Tippeligaen,Sweden
Rocha,67,CM,Normal,3K,2,3,H \ H,68,55,64,68,59,63,"167cm | 5'5""",0,377,1711,Club León,LIGA Bancomer MX,Mexico
Rossbach,67,GK,Normal,200,1,3,M \ M,67,68,65,69,45,64,"185cm | 6'0""",0,378,823,ODD,Tippeligaen,Norway
Castelletto,67,CB,Normal,400,2,3,M \ M,79,30,60,56,66,71,"186cm | 6'1""",0,362,1607,Red Star FC,Domino's Ligue 2,France
Christie,67,CAM,Normal,2.6K,3,3,M \ M,75,56,64,69,42,57,"178cm | 5'10""",0,363,1646,Celtic,Scottish Prem,Scotland
Berrio,67,RW,Normal,400,3,3,M \ M,85,64,57,68,26,72,"182cm | 5'11""",0,372,1629,Atl. Nacional,Liga Dimayor,Colombia
Lizarazo,67,CAM,Normal,0,3,3,M \ L,83,61,64,70,35,51,"171cm | 5'7""",0,364,1682,FC Dallas,MLS,Colombia
Mojica,67,CAM,Normal,300,4,3,M \ L,87,59,66,71,27,59,"168cm | 5'6""",0,369,1691,Deportivo Cali,Liga Dimayor,Colombia
Burbano,67,CAM,Normal,700,3,3,H \ L,86,65,57,70,24,62,"170cm | 5'6""",0,364,1611,Indep. Medellín,Liga Dimayor,Colombia
Rivera,67,LM,Normal,200,3,4,M \ M,70,60,63,67,24,58,"174cm | 5'8""",0,342,1546,Jaguares de Córdoba,Liga Dimayor,Colombia
Arias,67,ST,Normal,700,3,4,M \ M,74,64,39,67,26,66,"175cm | 5'8""",0,336,1506,Once Caldas,Liga Dimayor,Colombia
Bourigeaud,67,CM,Normal,1.5K,2,3,M \ M,67,59,67,66,54,60,"177cm | 5'9""",0,373,1715,RC Lens,Domino's Ligue 2,France
Álvarez,67,CB,Normal,600,2,3,M \ M,60,24,29,37,70,77,"187cm | 6'1""",0,297,1281,Junior FC,Liga Dimayor,Colombia
Mahecha,67,RM,Normal,200,2,3,M \ M,67,60,68,65,62,66,"178cm | 5'10""",0,388,1845,Boyacá Chicó,Liga Dimayor,Colombia
Robles,67,CDM,Normal,200,2,3,M \ H,58,48,60,56,64,71,"183cm | 6'0""",0,357,1573,Atlético Huila,Liga Dimayor,Colombia
Mena,67,CB,Normal,1.1K,2,2,L \ H,76,32,40,49,65,72,"183cm | 6'0""",1,334,1434,NY City FC,MLS,Colombia
Giovini,67,GK,Normal,200,1,2,M \ M,67,60,65,66,50,67,"192cm | 6'3""",0,375,868,Quilmes,Primera División,Argentina
San Juan,67,CB,Normal,350,2,3,M \ M,79,32,49,57,66,66,"180cm | 5'10""",0,349,1474,CD O'Higgins,Camp. Scotiabank,Chile
Barriga,67,LB,Normal,10K,2,3,H \ M,74,63,67,68,59,68,"175cm | 5'8""",0,399,1831,CD O'Higgins,Camp. Scotiabank,Chile
Amaya,67,CB,Normal,200,2,3,M \ M,56,35,42,51,68,66,"181cm | 5'11""",0,318,1468,Atl. Bucaramanga,Liga Dimayor,Colombia
Valencia,67,CB,Normal,10K,2,3,M \ M,56,26,39,37,69,71,"185cm | 6'0""",0,298,1362,Millonarios FC,Liga Dimayor,Colombia
Asprilla,67,RM,Normal,300,4,3,H \ L,77,68,59,71,28,67,"180cm | 5'10""",0,370,1701,Millonarios FC,Liga Dimayor,Colombia
Nieto,67,CM,Normal,200,3,3,M \ M,68,60,71,69,32,59,"177cm | 5'9""",0,359,1648,Atl. Nacional,Liga Dimayor,Colombia
Castillo,67,CDM,Normal,200,2,3,L \ M,71,50,62,60,64,71,"175cm | 5'8""",0,378,1745,Al. Petrolera,Liga Dimayor,Colombia
Briceño,67,CB,Normal,200,2,3,M \ M,56,26,40,44,69,66,"180cm | 5'10""",0,301,1353,Deportivo Pasto,Liga Dimayor,Colombia
Murillo,67,CAM,Normal,200,3,3,M \ M,66,57,64,69,30,62,"172cm | 5'7""",0,348,1573,Águilas Doradas,Liga Dimayor,Colombia
Rojas,67,LM,Normal,200,3,3,H \ M,69,61,67,68,48,61,"177cm | 5'9""",0,374,1732,Millonarios FC,Liga Dimayor,Colombia
Silva,67,CAM,Normal,300,4,3,M \ M,74,63,62,67,50,68,"174cm | 5'8""",0,384,1709,CD Palestino,Camp. Scotiabank,Chile
Escalona,67,CB,Normal,200,2,3,M \ M,54,38,44,55,68,71,"180cm | 5'10""",0,330,1486,CD Cobresal,Camp. Scotiabank,Chile
López,67,CB,Normal,400,2,2,L \ M,40,35,35,41,70,74,"194cm | 6'4""",0,295,1295,Ind. Santa Fe,Liga Dimayor,Colombia
Rodríguez,67,LB,Normal,10K,2,3,M \ M,75,40,53,66,66,65,"174cm | 5'8""",0,365,1663,Águilas Doradas,Liga Dimayor,Colombia
Mosquera,67,LB,Normal,1K,2,3,M \ M,71,44,56,57,66,72,"182cm | 5'11""",0,366,1625,La Equidad,Liga Dimayor,Colombia
Delgado,67,GK,Normal,200,1,3,M \ M,63,65,68,68,42,69,"182cm | 5'11""",0,375,877,Deportes Tolima,Liga Dimayor,Colombia
Mosquera,67,LB,Normal,500,3,3,H \ M,71,62,64,61,63,64,"175cm | 5'8""",0,385,1817,Águilas Doradas,Liga Dimayor,Colombia
Payares,67,CB,Normal,1K,2,3,M \ M,54,26,39,42,66,75,"185cm | 6'0""",0,302,1365,Atl. Bucaramanga,Liga Dimayor,Colombia
Jerez,67,RB,Normal,200,2,3,M \ M,62,30,52,61,66,73,"180cm | 5'10""",0,344,1499,CD Cobresal,Camp. Scotiabank,Chile
Iñíguez,67,CM,Normal,200,3,3,M \ M,68,54,64,68,63,72,"172cm | 5'7""",0,389,1773,Tigre,Primera División,Argentina
Ampuero,67,CB,Normal,300,2,3,M \ M,51,36,45,42,66,80,"183cm | 6'0""",0,320,1438,Unión Española,Camp. Scotiabank,Chile
Espinoza,67,RB,Normal,200,3,4,M \ H,71,51,60,65,63,68,"170cm | 5'6""",0,378,1726,Uni. Católica,Camp. Scotiabank,Chile
Povea,67,CM,Normal,200,3,3,M \ M,76,57,62,67,62,63,"176cm | 5'9""",0,387,1752,CD Huachipato,Camp. Scotiabank,Chile
Balbi,67,LB,Normal,200,3,3,M \ M,77,48,57,68,60,67,"172cm | 5'7""",0,377,1720,Real Valladolid,Liga Adelante,Argentina
Valdez Chamorro,67,CM,Normal,300,2,3,M \ M,80,60,61,68,58,66,"176cm | 5'9""",0,393,1790,G. La Plata,Primera División,Argentina
Sagal,67,ST,Normal,850,3,3,M \ M,75,64,61,65,59,70,"179cm | 5'10""",0,394,1736,CD Huachipato,Camp. Scotiabank,Chile
Robles,67,CB,Normal,250,2,3,L \ M,74,41,53,57,64,76,"182cm | 5'11""",0,365,1558,CD Huachipato,Camp. Scotiabank,Chile
Kariri,67,CDM,Normal,2K,2,4,M \ M,67,54,66,63,64,74,"185cm | 6'0""",0,388,1829,Al-Shabab,ALJ League,Saudi Arabia
Cornthwaite,67,CB,Movember,0,2,2,M \ M,43,41,40,34,69,78,"195cm | 6'4""",0,305,1306,WS Wanderers,Hyundai A-League,Australia
Peterson,67,LW,Movember,7.4K,3,5,H \ L,77,60,60,74,36,57,"180cm | 5'10""",0,364,1619,FC Utrecht,Eredivisie,Sweden
Delgado,67,CM,Movember,0,2,2,M \ H,69,52,62,67,60,67,"175cm | 5'8""",0,377,1710,Toronto FC,MLS,United States
Dzalamidze,67,RM,Normal,200,3,4,M \ L,86,56,58,71,35,60,"173cm | 5'8""",0,366,1674,Górnik Łęczna,Ekstraklasa,Georgia
Lim Chai Min,67,CB,Normal,700,2,3,L \ H,78,26,34,38,66,75,"188cm | 6'2""",0,317,1333,Sangju Sangmu,K LEAGUE Classic,Korea Republic
Bravo,67,CDM,Normal,300,2,2,L \ H,60,45,58,60,64,79,"185cm | 6'0""",0,366,1659,Boca Juniors,Primera División,Argentina
Ruca,67,LM,Normal,450,2,2,M \ H,70,66,65,64,62,78,"189cm | 6'2""",0,405,1822,Tondela,LIGA NOS,Portugal
Bueno,67,ST,Normal,0,2,3,H \ L,78,59,52,67,30,72,"182cm | 5'11""",0,358,1610,Pachuca,LIGA Bancomer MX,Mexico
Børven,67,ST,Normal,0,3,4,H \ M,74,65,50,69,31,65,"185cm | 6'0""",0,354,1597,FC Twente,Eredivisie,Norway
Ontivero,67,RM,Normal,0,3,3,H \ L,77,64,62,72,35,48,"168cm | 5'6""",0,358,1673,Galatasaray SK,Süper Lig,Argentina
Moncur,67,CAM,Normal,1K,3,3,H \ M,69,64,63,70,52,65,"176cm | 5'9""",0,383,1717,Barnsley,EFL Championship,England
Albrechtsen,67,CB,Normal,300,2,4,M \ M,64,43,44,47,64,71,"188cm | 6'2""",0,333,1465,AC Horsens,Alka Superliga,Denmark
Furlong,67,RB,Normal,5.2K,2,3,M \ M,71,36,55,65,64,65,"180cm | 5'10""",0,356,1587,QPR,EFL Championship,England
Cejas,67,CAM,Normal,0,4,4,M \ L,67,68,66,68,38,71,"174cm | 5'8""",0,378,1789,Monarcas,LIGA Bancomer MX,Argentina
Mojica,67,CAM,Normal,850,4,3,M \ L,87,59,66,71,27,59,"168cm | 5'6""",0,369,1691,Cortuluá,Liga Dimayor,Colombia
Zúñiga,67,ST,Normal,400,2,3,H \ M,69,64,54,63,26,70,"185cm | 6'0""",0,346,1582,América,LIGA Bancomer MX,Mexico
Castillo,67,CDM,Normal,200,2,3,L \ M,71,50,62,60,64,71,"175cm | 5'8""",0,378,1745,Deportes Tolima,Liga Dimayor,Colombia
Payares,67,CB,Normal,200,2,3,M \ M,54,26,39,42,66,75,"185cm | 6'0""",0,302,1365,Deportivo Pasto,Liga Dimayor,Colombia
Lizarazo,67,CAM,Normal,0,3,3,M \ L,83,61,64,70,35,51,"171cm | 5'7""",0,364,1682,Cruz Azul,LIGA Bancomer MX,Colombia
Keita,67,LM,Normal,4.4K,4,4,H \ M,83,67,59,69,30,60,"171cm | 5'7""",0,368,1704,Lech Poznań,Ekstraklasa,Norway
Kim Min Woo,67,CM,Normal,200,3,4,H \ M,67,53,66,68,57,65,"172cm | 5'7""",0,376,1719,Suwon Bluewings,K LEAGUE Classic,Korea Republic
Attinella,67,GK,Normal,200,1,2,M \ M,70,65,63,67,41,65,"188cm | 6'2""",0,371,834,Portland,MLS,United States
Beavon,67,ST,Normal,200,3,3,H \ M,74,67,53,70,33,72,"171cm | 5'7""",0,369,1721,Coventry City,Football League,England
Kaikai,67,LM,Normal,750,3,3,M \ M,84,66,62,71,26,52,"178cm | 5'10""",1,361,1600,Crystal Palace,Premier League,England
Rocha,67,CM,Normal,600,2,3,H \ H,68,55,64,68,59,63,"167cm | 5'5""",0,377,1711,Monarcas,LIGA Bancomer MX,Mexico
Mosquera,67,LB,Normal,200,2,3,M \ M,71,44,56,57,66,72,"182cm | 5'11""",0,366,1625,Envigado,Liga Dimayor,Colombia
Alvarado,67,CB,Normal,10K,2,3,M \ H,66,41,57,58,65,72,"181cm | 5'11""",0,359,1594,Santos Laguna,LIGA Bancomer MX,United States
Toia,67,LB,Normal,400,2,3,M \ H,77,51,57,62,66,70,"173cm | 5'8""",0,383,1736,Orlando City,MLS,United States
Raitala,67,LB,Normal,550,2,5,M \ M,74,39,58,59,66,72,"181cm | 5'11""",0,368,1661,Columbus Crew,MLS,Finland
Mahecha,67,RM,Normal,200,2,3,M \ M,67,60,68,65,62,66,"178cm | 5'10""",0,388,1845,La Equidad,Liga Dimayor,Colombia
Grant,67,LM,Normal,450,2,3,M \ M,65,60,69,70,56,68,"176cm | 5'9""",0,388,1776,Doncaster,Football League 2,England
Valencia,67,CB,Normal,200,2,3,M \ M,56,26,39,37,69,71,"185cm | 6'0""",0,298,1362,Al. Petrolera,Liga Dimayor,Colombia
Varney,67,ST,Normal,850,2,3,H \ M,76,63,62,65,41,73,"180cm | 5'10""",0,380,1732,Burton Albion,EFL Championship,England
Rosero Valencia,67,CB,Normal,200,2,2,M \ H,73,39,52,58,66,73,"181cm | 5'11""",0,361,1622,Deportivo Cali,Liga Dimayor,Colombia
Fierro,67,CAM,Normal,750,3,4,H \ M,89,62,61,73,32,62,"175cm | 5'8""",1,379,1690,Guadalajara,LIGA Bancomer MX,Mexico
Foley,67,CM,Normal,200,2,3,M \ M,60,43,62,60,66,69,"183cm | 6'0""",0,360,1671,Coventry City,Football League,Republic of Ireland
Bava,67,GK,Normal,250,1,1,M \ M,62,68,68,67,41,71,"193cm | 6'3""",0,377,994,Chicago Fire,MLS,Uruguay
Lee Jae Sung,67,CB,Normal,450,2,3,L \ H,41,52,59,55,64,81,"187cm | 6'1""",0,352,1633,Jeonbuk FC,K LEAGUE Classic,Korea Republic
Jurman,67,CB,Normal,200,2,2,M \ M,54,41,51,48,66,79,"190cm | 6'2""",0,339,1463,Suwon Bluewings,K LEAGUE Classic,Australia
Landel,67,CM,Normal,2.5K,3,3,M \ M,81,58,62,67,58,56,"172cm | 5'7""",0,382,1711,Alanyaspor,Süper Lig,Guinea
Leonardo,67,CB,Normal,600,2,2,L \ H,44,34,45,41,65,73,"188cm | 6'2""",0,302,1363,Houston Dynamo,MLS,Brazil
Glombard,67,RB,Normal,200,2,3,M \ M,69,47,65,64,65,72,"178cm | 5'10""",0,382,1767,Stade Lavallois,Domino's Ligue 2,Benin
Yilmaz,67,RM,Normal,300,3,4,H \ L,77,64,60,69,37,68,"183cm | 6'0""",0,375,1699,Gaziantepspor,Süper Lig,Turkey
Kim Won Il,67,CB,Normal,200,2,3,L \ H,66,35,41,38,67,71,"185cm | 6'0""",0,318,1488,Jeju United FC,K LEAGUE Classic,Korea Republic
Smallwood,67,CDM,Normal,3.5K,2,3,M \ H,63,51,60,61,67,70,"180cm | 5'10""",0,372,1696,Rotherham Utd,EFL Championship,England
Kabasele,67,ST,Normal,5.2K,3,3,M \ L,86,64,55,71,25,70,"175cm | 5'8""",0,371,1637,Royal Mouscron,Pro League,Belgium
Chiosa,67,CB,Normal,200,2,3,M \ H,72,16,32,41,68,64,"180cm | 5'10""",0,293,1274,Novara,Calcio B,Italy
Luis Fernández,67,ST,Normal,300,3,3,M \ M,73,66,51,63,27,62,"175cm | 5'8""",0,342,1605,UCAM Murcia CF,Liga Adelante,Spain
Serrano,67,CM,Normal,200,2,3,M \ M,70,53,65,68,57,69,"178cm | 5'10""",0,382,1693,Godoy Cruz,Primera División,Argentina
Leudo,67,CDM,Normal,10K,2,3,L \ M,47,42,53,56,67,81,"182cm | 5'11""",0,346,1585,Jaguares de Córdoba,Liga Dimayor,Colombia
Dursun,67,RB,Normal,1.2K,2,2,M \ H,67,39,56,60,67,81,"188cm | 6'2""",0,370,1639,Antalyaspor,Süper Lig,Turkey
Cho Suk Jae,67,ST,Normal,10K,3,3,H \ M,81,63,46,67,20,67,"180cm | 5'10""",0,344,1502,Jeonbuk FC,K LEAGUE Classic,Korea Republic
Cejas,67,CAM,Normal,300,4,4,M \ L,67,68,66,68,38,71,"174cm | 5'8""",0,378,1789,Unión Santa Fe,Primera División,Argentina
Lee Yong,67,RB,Normal,700,2,3,M \ M,66,54,63,57,64,73,"180cm | 5'10""",0,377,1739,Jeonbuk FC,K LEAGUE Classic,Korea Republic
Choi Hyun Tae,67,CM,Normal,300,2,3,M \ M,68,70,65,65,65,74,"179cm | 5'10""",0,407,1865,Jeju United FC,K LEAGUE Classic,Korea Republic
Ramos,67,GK,Normal,200,1,3,M \ M,58,71,73,67,16,68,"188cm | 6'2""",0,353,657,Indep. Medellín,Liga Dimayor,Colombia
Bueno,67,ST,Normal,1.8K,2,3,H \ L,78,59,52,67,30,72,"182cm | 5'11""",0,358,1610,Monterrey,LIGA Bancomer MX,Mexico
Israelsson,67,CAM,Normal,500,2,3,H \ M,63,64,61,62,59,80,"183cm | 6'0""",0,389,1819,PEC Zwolle,Eredivisie,Sweden
Moretti,67,CM,Normal,300,3,3,M \ M,64,64,65,62,63,72,"187cm | 6'1""",0,390,1794,Avellino,Calcio B,Italy
Paulsen,67,RM,Normal,350,2,3,H \ H,69,66,64,64,65,77,"190cm | 6'2""",0,405,1826,Hammarby,Allsvenskan,Denmark
Eicher,67,GK,Normal,200,1,2,M \ M,67,66,61,69,46,67,"191cm | 6'3""",0,376,735,Heidenheim,Bundesliga 2,Germany
Laverone,67,RB,Normal,1.2K,3,3,H \ M,84,50,67,66,57,74,"175cm | 5'8""",0,398,1825,Avellino,Calcio B,Italy
Abdulameer,67,CDM,Normal,3.1K,2,3,M \ M,56,61,67,66,63,67,"180cm | 5'10""",0,380,1773,Al-Ahli,ALJ League,Iraq
Alkiliç,67,RB,Normal,7.3K,3,3,M \ M,83,61,56,70,61,68,"177cm | 5'9""",0,399,1777,Alanyaspor,Süper Lig,Turkey
Nkololo,67,CAM,Normal,1.6K,2,3,H \ M,81,65,59,68,25,47,"183cm | 6'0""",0,345,1597,Stade Lavallois,Domino's Ligue 2,DR Congo
Boyd,67,ST,Normal,600,2,3,M \ M,52,69,44,54,29,74,"188cm | 6'2""",0,322,1497,Darmstadt,Bundesliga,United States
Edu Bedia,67,CM,Normal,200,3,3,M \ M,55,55,72,65,50,57,"182cm | 5'11""",0,354,1691,Real Zaragoza,Liga Adelante,Spain
McQuoid,67,ST,Normal,200,2,4,H \ L,83,66,57,66,36,57,"176cm | 5'9""",0,365,1648,Stevenage,Football League 2,Northern Ireland
Aslantas,67,RB,Normal,450,2,5,M \ H,67,49,61,58,65,71,"181cm | 5'11""",0,371,1690,Kayserispor,Süper Lig,Turkey
Manaj,67,ST,Normal,200,3,3,M \ M,67,63,47,65,20,64,"182cm | 5'11""",1,326,1493,Pisa,Calcio B,Albania
Maiello,67,CM,Normal,200,3,3,M \ M,72,58,65,70,49,64,"177cm | 5'9""",0,378,1732,Frosinone,Calcio B,Italy
Ernemann,67,CM,Normal,300,3,4,H \ M,64,66,67,61,60,72,"186cm | 6'1""",-1,390,1802,Viking FK,Tippeligaen,Denmark
Windbichler,67,CB,Normal,600,2,3,M \ M,67,30,53,47,67,65,"183cm | 6'0""",0,329,1473,Ulsan Hyundai,K LEAGUE Classic,Austria
Skogseid,67,RB,Normal,200,2,4,M \ M,76,48,58,58,63,71,"186cm | 6'1""",0,374,1668,Stabæk Fotball,Tippeligaen,Norway
Kudo,67,ST,Normal,450,3,4,H \ L,78,65,54,66,23,65,"178cm | 5'10""",0,351,1571,S-Hiroshima,Meiji Yasuda J1,Japan
Asprilla,67,RM,Normal,400,4,3,H \ L,77,68,59,71,28,67,"180cm | 5'10""",0,370,1701,Portland,MLS,Colombia
Myers,67,RB,Normal,300,2,4,H \ M,78,58,61,65,65,66,"183cm | 6'0""",0,393,1777,Portland,MLS,United States
Dieng,67,LM,Normal,2.9K,3,3,M \ M,79,56,62,68,47,57,"180cm | 5'10""",0,369,1652,SKN St. Pölten,O. Bundesliga,Senegal
Arias,67,ST,Normal,200,3,4,M \ M,74,64,39,67,26,66,"175cm | 5'8""",0,336,1506,Al. Petrolera,Liga Dimayor,Colombia
Christie,67,CAM,Normal,750,3,3,M \ M,75,56,64,69,42,57,"178cm | 5'10""",0,363,1646,Aberdeen,Scottish Prem,Scotland
Monachello,67,ST,Normal,200,2,3,M \ L,55,67,47,65,24,62,"184cm | 6'0""",0,320,1463,Terni,Calcio B,Italy
Iwashita,67,CB,Normal,200,2,3,M \ M,48,32,41,42,66,70,"181cm | 5'11""",0,299,1352,Avispa Fukuoka,Meiji Yasuda J1,Japan
Notsuda,67,CAM,Normal,10K,3,4,M \ M,79,64,57,70,31,60,"176cm | 5'9""",0,361,1588,S-Hiroshima,Meiji Yasuda J1,Japan
Leudo,67,CDM,Normal,1.1K,2,3,L \ M,47,42,53,56,67,81,"182cm | 5'11""",0,346,1585,Veracruz,LIGA Bancomer MX,Colombia
Aramu,67,RW,Normal,200,3,3,M \ M,76,58,65,73,35,57,"180cm | 5'10""",0,364,1669,Vercelli,Calcio B,Italy
Saunders,67,RM,Normal,350,3,3,M \ M,67,60,67,70,32,65,"173cm | 5'8""",0,361,1696,Wycombe,Football League 2,England
Nilsson,67,CB,Normal,700,2,2,L \ M,60,32,42,35,66,75,"194cm | 6'4""",0,310,1349,Pohang Steelers,K LEAGUE Classic,Sweden
Makhmudov,67,CDM,Normal,500,3,3,M \ H,65,54,66,66,64,60,"175cm | 5'8""",1,375,1770,Boavista,LIGA NOS,Azerbaijan
Can,67,LB,Normal,10K,2,2,L \ H,67,24,54,51,72,72,"182cm | 5'11""",0,340,1529,Gaziantepspor,Süper Lig,Bulgaria
Muriqi,67,ST,Normal,200,2,3,M \ M,54,67,44,58,24,69,"194cm | 6'4""",0,316,1415,Gençlerbirliği,Süper Lig,Kosovo
Leutwiler,67,GK,Normal,300,1,3,M \ M,67,64,65,69,55,68,"192cm | 6'3""",0,388,858,Shrewsbury,Football League,Canada
Sönmez,67,CAM,Normal,300,3,4,H \ M,74,60,63,68,36,64,"184cm | 6'0""",-1,365,1633,Kayserispor,Süper Lig,Azerbaijan
Tuanzebe,67,CB,Normal,450,2,2,M \ H,75,34,47,56,66,72,"185cm | 6'0""",4,350,1540,Manchester Utd,Premier League,England
Christensen,67,CM,Normal,700,2,3,H \ H,75,56,64,71,52,63,"178cm | 5'10""",0,381,1688,Burton Albion,EFL Championship,Denmark
Wolf,67,LM,Normal,300,4,4,H \ M,86,59,56,68,31,64,"187cm | 6'1""",0,364,1594,Eint. Frankfurt,Bundesliga,Germany
Ariyibi,67,RM,Normal,2K,4,5,H \ L,92,51,54,72,32,58,"185cm | 6'0""",0,359,1555,Nott'm Forest,EFL Championship,United States
Aguza,67,CM,Normal,200,3,4,M \ M,60,63,69,65,53,62,"176cm | 5'9""",0,372,1724,Córdoba CF,Liga Adelante,Spain
Wildschut,67,LW,Normal,950,3,2,M \ M,83,66,63,70,35,74,"187cm | 6'1""",1,391,1719,Norwich City,EFL Championship,Netherlands
Barišic,67,ST,Normal,200,3,3,H \ M,63,68,51,60,25,70,"186cm | 6'1""",0,337,1525,Arka Gdynia,Ekstraklasa,Croatia
Dembélé,67,ST,Normal,300,3,3,M \ L,85,65,55,66,16,53,"184cm | 6'0""",0,340,1570,Stade Lavallois,Domino's Ligue 2,Mali
Lazic,67,CB,Normal,300,2,4,M \ H,67,28,48,49,67,67,"185cm | 6'0""",0,326,1469,Alanyaspor,Süper Lig,Serbia
Hjulsager,67,CM,Normal,500,2,3,M \ M,79,60,64,67,39,61,"177cm | 5'9""",1,370,1668,Celta Vigo,LaLiga Santander ,Denmark
Novikovas,67,RM,Normal,1.5K,3,4,M \ L,90,62,60,69,22,60,"179cm | 5'10""",0,363,1640,Jagiellonia,Ekstraklasa,Lithuania
Saunders,67,GK,Normal,300,1,3,M \ M,70,67,68,64,53,65,"193cm | 6'3""",0,387,826,Orlando City,MLS,Puerto Rico
Browning,67,RB,Normal,8K,2,3,M \ M,73,34,47,54,68,66,"181cm | 5'11""",0,342,1482,Preston,EFL Championship,England
Smith,67,ST,Normal,500,2,3,M \ M,46,66,51,50,39,80,"198cm | 6'5""",0,332,1510,QPR,EFL Championship,England
Pich,67,LM,Normal,200,3,3,M \ M,80,64,60,69,28,50,"173cm | 5'8""",0,351,1583,Śląsk Wrocław,Ekstraklasa,Slovakia
Sammon,67,ST,Normal,5K,3,3,H \ H,75,65,51,59,40,82,"186cm | 6'1""",0,372,1671,Kilmarnock,Scottish Prem,Republic of Ireland
O'Keefe,67,CM,Normal,1.6K,2,3,M \ H,69,58,61,67,62,72,"173cm | 5'8""",0,389,1740,MK Dons,Football League,England
Ontivero,67,RM,Normal,1.2K,3,3,H \ L,77,64,62,72,35,48,"168cm | 5'6""",0,358,1673,Uni. de Chile,Camp. Scotiabank,Argentina
Clough,67,ST,Normal,200,3,3,H \ M,77,65,56,71,36,49,"170cm | 5'6""",0,354,1658,Nott'm Forest,EFL Championship,England
Huws,67,CDM,Normal,750,3,3,M \ M,70,60,69,65,58,66,"177cm | 5'9""",0,388,1752,Ipswich Town,EFL Championship,Wales
Kalmár,67,LM,Normal,300,3,3,M \ M,66,59,67,70,43,55,"185cm | 6'0""",0,360,1667,Brøndby IF,Alka Superliga,Hungary
Bulos,67,ST,Normal,350,3,4,M \ M,66,66,47,60,27,73,"186cm | 6'1""",0,339,1508,Boavista,LIGA NOS,Peru
Danns,67,CM,Normal,200,3,3,M \ H,67,67,66,66,53,72,"175cm | 5'8""",0,391,1828,Blackpool,Football League 2,Guyana
Ojamaa,67,RW,Normal,800,4,3,H \ H,87,67,56,71,20,74,"176cm | 5'9""",0,375,1647,Dundee FC,Scottish Prem,Estonia
Pedro Pereira,67,RB,Normal,250,2,2,M \ M,75,36,54,64,63,56,"174cm | 5'8""",0,348,1584,SL Benfica,LIGA NOS,Portugal
Fontanini,67,CB,Normal,200,2,2,M \ M,45,36,45,51,66,72,"180cm | 5'10""",0,315,1481,CD O'Higgins,Camp. Scotiabank,Argentina
Gnahoré,67,CM,Normal,550,3,3,H \ M,77,62,60,67,56,72,"188cm | 6'2""",-1,394,1681,Perugia,Calcio B,France
Pehlivan,67,LB,Normal,0,2,3,M \ M,66,50,53,62,67,65,"183cm | 6'0""",0,363,1632,Adanaspor,Süper Lig,Turkey
Hogan,67,ST,Normal,300,2,3,M \ M,90,60,51,68,26,58,"180cm | 5'10""",0,353,1543,Aston Villa,EFL Championship,England
César Ortiz,67,CB,Normal,200,2,3,M \ H,44,24,52,39,67,73,"182cm | 5'11""",0,299,1389,SV Mattersburg,O. Bundesliga,Spain
Crimi,67,CM,Normal,200,2,3,H \ M,74,51,63,66,58,69,"178cm | 5'10""",0,381,1747,Cesena,Calcio B,Italy
Børven,67,ST,Normal,200,3,4,H \ M,74,65,50,69,31,65,"185cm | 6'0""",0,354,1597,SK Brann,Tippeligaen,Norway
Kim Jae Sung,67,CM,Normal,1.4K,2,4,M \ M,75,61,67,65,60,66,"180cm | 5'10""",0,394,1832,Adelaide United,Hyundai A-League,Korea Republic
Ajose,67,ST,Normal,650,3,4,H \ M,80,69,51,65,28,58,"173cm | 5'8""",0,351,1590,Swindon Town,Football League,England
Picault,67,LM,Normal,650,3,3,M \ M,88,65,56,70,27,50,"173cm | 5'8""",0,356,1639,Philadelphia,MLS,United States
Olum,67,CB,Normal,300,2,3,M \ H,55,49,54,53,64,76,"188cm | 6'2""",0,351,1570,Portland,MLS,Kenya
Lizarazo,67,CAM,Normal,0,3,3,M \ L,83,61,64,70,35,51,"171cm | 5'7""",0,364,1682,Al. Petrolera,Liga Dimayor,Colombia
Mójta,67,LB,Normal,200,3,2,H \ M,71,54,61,62,62,69,"178cm | 5'10""",0,379,1743,Piast Gliwice,Ekstraklasa,Poland
Cinelli,67,CM,Normal,200,3,3,H \ M,66,51,64,64,60,71,"178cm | 5'10""",0,376,1680,Novara,Calcio B,Italy
Burbano,67,CAM,Normal,300,3,3,H \ L,86,65,57,70,24,62,"170cm | 5'6""",0,364,1611,Atl. Bucaramanga,Liga Dimayor,Colombia
Joel Pereira,67,GK,Normal,300,1,2,M \ M,67,66,59,69,43,64,"188cm | 6'2""",1,368,694,Manchester Utd,Premier League,Portugal
Taylor,67,RM,Normal,450,3,4,M \ M,76,58,62,70,43,64,"183cm | 6'0""",0,373,1685,Oldham Athletic,Football League,England
